,Id,Users,Comments
60,u_ps_fetchstream_3_3_2,Jasvir Nika,Rest in peace god always protect us now at and the hours of our death AMEN mama Mary mother of God pray for us sinners for that we can inter the kingdom of God AMEN
61,u_ps_fetchstream_3_3_2,Joan Delahunt,Well they go to the crematorium in coffins. Weird comment  at this time of grief- think of those affected. 💔💔💔
62,u_ps_fetchstream_3_3_2,Cesar Domingo,Gods love forgiveness safe protection health peace and life happiness who believe & trust and pray faithfully Amen
63,u_ps_fetchstream_3_3_2,Chaddy Baldemoro,RIP IN GOD'S KINGDOM AND GRACE TO ALL😇😇😇
64,u_ps_fetchstream_3_3_2,Jean VonGunster,May their soul's RIP soul's RIP
65,u_ps_fetchstream_3_3_2,Mamarita Agemo,Rip mother of perpertual help listen to our pleading souls
66,u_ps_fetchstream_3_3_2,Connie Calderon,"Heal Italy and the Whole World Oh Lord, Amen"
67,u_ps_fetchstream_3_3_2,Teresita Salvanera,"Rest in peace for all the people who died of NCovid-19, God have mercy on us. Amen"
68,u_ps_fetchstream_3_3_2,Nicky Nicholson,Oh my god those poor people hopefully we'll find a vaccine for this shortly may they all see the light of heaven
69,u_ps_fetchstream_3_3_2,Engr Vincent Izuagbe Vincent,Lord Jesus have mercy on Italy in d rest of f world Amen
70,u_ps_fetchstream_3_3_2,Joemi Boy,internal rest auto all souls that are lost.
71,u_ps_fetchstream_3_3_2,Borča Računari Željko,Thats image from 2015 !!!
72,u_ps_fetchstream_3_3_2,Rosanne Cosgrove-schnall,"May their souls rest in peace, Jesus have Mercy on us and the whole world. Please !"
73,u_ps_fetchstream_3_3_2,Francis Njuguna,May their souls rest in eternal peace...... And renewal of strength for their loved ones
74,u_ps_fetchstream_3_3_2,Alice Santos,Prayers for Italy and the whole world.
75,u_ps_fetchstream_3_3_2,Agnes Agnes,We pray for all who died .rest in peace.
76,u_ps_fetchstream_3_3_2,Nancy Kurbah,We pray for ITALY Rest in PEACE
77,u_ps_fetchstream_3_3_2,Annie Españo,We pray for Italy. Rest in peace.
78,u_ps_fetchstream_3_3_2,Flynda Lustre Macabale,May all their souls rest in peace 🙏
79,u_ps_fetchstream_3_3_2,Lena Losper Theys,May their soul's rest in peace amen
80,u_ps_fetchstream_3_3_2,Dolores Inocencio,May thier souls rest in peace
81,u_ps_fetchstream_3_3_2,Pittie Pena,May they rest in peace. Amen.
82,u_ps_fetchstream_3_3_2,Isabella Belmonte,Lord .mY their souls rest in peace Amen. 🙏
83,u_ps_fetchstream_3_3_2,Muteteshe Marie Aimee,Amen God have mercy on us sinners
84,u_ps_fetchstream_3_3_2,Dorothy Doronila,May rest in peace to all ...
85,u_ps_fetchstream_3_3_2,Norma Cabrera,may they all rest in peace...Amen
86,u_ps_fetchstream_3_3_2,Keyna Umeyor,"May they rest in peace. Lord have mercy on the whole world, Amen"
87,u_ps_fetchstream_3_3_2,Rufina Jorge,Eternal rest grant unto them o Lord
88,u_ps_fetchstream_3_3_2,Teresita Rosa Tan,"Eternal rest grant unto them, O Lord, and let perpetual light shine upon them. May their souls and all the souls of the faithful departed, through the mercy of God, rest in peace. Amen."
89,u_ps_fetchstream_3_3_2,Cherry Luz Vallo,May all their souls rest in peace.
90,u_ps_fetchstream_3_3_2,Speeckaert Marc,I will pray 🙏
91,u_ps_fetchstream_3_3_2,Lina Nieva,May the souls of the depated Rest In Peace🌹🙏and Eternal Light Shine Upon Them 🙏🙏🙏 ..Amen 🙏
92,u_ps_fetchstream_3_3_2,Alfredo Faraon Turla,Lord Jesus Christ Have mercy on us..🙏❤🙏
93,u_ps_fetchstream_3_3_2,Pauline Muriithia,Eternal rest grant unto them oh lord
94,u_ps_fetchstream_3_3_2,Lilia Dela Cruz,"Lord, welcome them to your heavenly place where their Souls Rest In Peace. Amen 🙏🏼"
95,u_ps_fetchstream_3_3_2,Eileen O Neill,"Rest in peace, may god help their families at tgis sad time."
96,u_ps_fetchstream_3_3_2,Udeh Juliet,Rip
97,u_ps_fetchstream_3_3_2,Regilyn Bernardo De Jesus,May their Souls Rest in Peace 🙏🙏🙏
98,u_ps_fetchstream_3_3_2,Obioma Onuorah-Ekpunobi,May God rest their souls. Amen.
99,u_ps_fetchstream_3_3_2,Veronica Lucas,Omg may they all rest in peace. 🙏🙏🙏❤❤❤
100,u_ps_fetchstream_3_3_2,Albert De la Cruz,Lord Have Mercy
101,u_ps_fetchstream_3_3_2,Julius Mutabazi,May their souls rest near Jesus
102,u_ps_fetchstream_3_3_2,Udeh Juliet,Rip
103,u_ps_fetchstream_3_3_2,Erlinda Bas,"Lord God Grant them eternal rest,heal all those who are sick and HEAL the World. Amen."
104,u_ps_fetchstream_3_3_2,Pops Galgo,Rest all you're soul in God eternal Peace. Amen. 🙏🙏🙏🙏🙏
105,u_ps_fetchstream_3_3_2,Virginia O. Wu,"Amen, rest in peace"
106,u_ps_fetchstream_3_3_2,Winifred Ezeh,May their souls rest in perfect peace.Amen
107,u_ps_fetchstream_3_3_2,Evelyn E Giva,May they rest in peace
108,u_ps_fetchstream_3_3_2,Nancy Maher,May their souls rest in eternal peace
109,u_ps_fetchstream_3_3_2,Udeh Juliet,Rip
110,u_ps_fetchstream_3_3_2,Gunga Sabrina,Ooh God please heal the world please please please Jesus 🙏🙏🙏
111,u_ps_fetchstream_3_3_2,Rothel Gold Barrido,May they rest in peaceful.🙏🏼💐🕊
